Algorithm_Type,Configuration,Migration_Interval,Best_Fitness_Min,Mean_Fitness,Std_Dev,Time_Sec,Speedup
Classic Serial,30 agents,N/A,1.492608e+01,32.042322,7.8055,0.2759,1.00
Classic Serial,60 agents,N/A,1.697803e+01,23.892180,5.6060,0.5358,1.00
Classic Serial,100 agents,N/A,1.591934e+01,23.507003,4.9489,0.9115,1.00
Classic Serial,120 agents,N/A,1.392942e+01,24.874795,8.4079,1.0869,1.00
Island Parallel,2 cores,10,2.124133e+01,30.264366,7.07545,2.1665,0.50
Island Parallel,2 cores,25,1.127437e+01,27.609741,7.56578,2.4543,0.44
Island Parallel,2 cores,100,2.501112e+01,32.557520,4.75995,2.2818,0.48
Island Parallel,4 cores,10,1.816501e+01,35.387856,9.43493,2.3479,0.46
Island Parallel,4 cores,25,2.256375e+01,33.947887,6.54361,2.2907,0.47
Island Parallel,4 cores,100,2.481473e+01,35.827955,6.84159,2.2385,0.49
Island Parallel,8 cores,10,2.178189e+01,31.293185,6.95316,2.4841,0.44
Island Parallel,8 cores,25,2.251976e+01,31.961916,6.05446,2.4656,0.44
Island Parallel,8 cores,100,2.383405e+01,35.767820,6.75827,2.3128,0.47
